date,ge4,ge12,ge25,ge50,ge100,ge150,ge200,ge250,ge300
2003-08-01,350513,266174,200629,141262,78442,32246,19693,13965,0
2003-08-08,352277,267746,201366,141640,78861,32411,19781,14000,0
2003-08-15,353174,270779,202057,142143,79267,32561,19843,14049,0
2003-08-22,353960,271643,202672,142719,79643,32716,19912,14113,0
2003-08-29,354733,272339,203441,143294,80086,32895,19988,14170,0
2003-09-05,356968,273061,204190,144307,80432,33056,20075,14246,0
2003-09-12,357825,273936,205848,144953,80977,33237,20173,14296,0
2003-09-19,358752,277480,206538,145818,81490,33385,20243,14366,0
2003-09-26,359541,278181,207242,146844,81985,33551,20301,14406,0
2003-10-03,360310,279001,208072,147430,82381,33727,20345,14444,0
2003-10-10,361005,279729,208745,147992,82851,33892,20420,14498,0
2003-10-17,361816,280462,209356,148630,83262,34106,20522,14545,0
2003-10-24,362919,282337,210478,149105,83687,34288,20600,14582,0
2003-10-31,363968,284008,212275,149736,84004,34777,20734,14616,0
2003-11-07,364899,284902,215132,150412,84237,38793,20846,14663,0
2003-11-14,365886,285627,215924,150944,84522,39087,21224,14714,0
2003-11-21,366872,286360,216605,151402,84829,39546,21683,14773,10315
2003-11-28,368501,287004,217228,151859,85248,39676,21765,14829,10374
2003-12-05,369697,287814,217998,152478,85773,39818,21832,14882,10433
2003-12-12,370683,288776,221320,153079,86308,40023,21945,14938,10517
2003-12-19,371726,289891,221995,153645,86737,41126,22052,14989,10570
2003-12-26,372719,290745,222785,154313,87171,42438,22190,15027,10665
2004-01-02,373563,291686,223497,154889,87640,42711,22295,15064,10736
2004-01-09,374544,292718,224180,155514,88109,48103,22405,15108,10776
2004-01-16,375801,294679,225948,156103,88496,48818,22477,15155,10845
2004-01-23,377127,295684,227773,156754,88881,49161,22558,15266,10948
2004-01-30,377600,296572,228587,157340,89362,49464,22737,15325,10997
2004-02-06,378404,297514,229252,157883,89857,49962,22896,15370,11050
2004-02-13,379197,298484,229955,158508,90210,51133,22982,15437,11099
2004-02-20,380143,299273,230561,159165,90613,51453,23111,15497,11132
2004-02-27,380868,300273,231278,160149,91034,51727,23276,15571,11171
2004-03-05,381659,301625,232187,160732,91410,52103,23360,15625,11241
