"asn_count","on_or_before_date"
384,"2010-11-12"
384,"2010-11-19"
385,"2010-11-26"
385,"2010-12-03"
385,"2010-12-10"
385,"2010-12-17"
385,"2010-12-24"
385,"2010-12-31"
385,"2011-01-07"
385,"2011-01-14"
385,"2011-01-21"
385,"2011-01-28"
